Part Name ,Quantity,Unit Price,Total Price,Purchase Link
Arduino Nano R4,1,10.64$,10.64$,https://store-usa.arduino.cc/collections/nano-family/products/nano-r4-with-headers
2.4 Inch SPI TFT LCD display,1,6.67$,6.67$,https://robu.in/product/2-4-inch-spi-interface-240x320-touch-screen-tft-display-module/
2S 18650 Li-Ion Battery,1,9.53$,9.53$,https://robu.in/product/samsung-inr18650-35e-7-4v-3500mah-2c-2s1p-li-ion-battery-pack/
2S 18650 Li-Ion Battery Charger,1,7.16$,7.16$,https://robu.in/product/lithium-battery-charger-8-4v-1a-with-dc-plug-2-indicators/
MG996R Servo Motors,2,3.64$,7.28$,https://robu.in/product/towerpro-mg996r-digital-high-torque-servo-motor/
7Semi BMI270 6-axis gyroscope,1,6.2$,6.2$,https://robu.in/product/bosch-bmi270motion-sensoric22-g-4-g-8-g-16-g/
LM2596 Buck Step-Down convertor,1,1.17$,1.17$,https://robu.in/product/lm2596-buck-step-power-converter-module-dc-4-040-1-3-37v-led-voltmeter/
Jumper Wire kit (20*3),1,2.49$,2.49$,https://www.amazon.in/Tishvi-Jumper-120pcs-Multicolored-Dupont/dp/B0G4GXTVLG/ref=sr_1_1_sspa?s=industrial&sr=1-1-spons&aref=mGeJgcnhoq&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY
Breadboard 400 ties,1,1.26$,1.26$,https://www.amazon.in/Tishvi-Jumper-120pcs-Multicolored-Dupont/dp/B0G4GXTVLG/ref=sr_1_1_sspa?s=industrial&sr=1-1-spons&aref=mGeJgcnhoq&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY
General Purpose PCB (7.5 X 5cm)*10 pieces,1,1.05$,1.05$,https://www.amazon.in/UNIVERSAL-HUB-General-electronic-Experiment/dp/B0C3B8CGG8/ref=sr_1_1?s=industrial&sr=1-1
Soldering Iron,1,7.85$,7.85$,https://robu.in/product/pro-range-13-in-1-temperature-soldering-kit/
Rosin Paste Flux ,1,0.84$,0.84$,https://www.amazon.in/UNIVERSAL-HUB-Soldering-Electronics-components/dp/B0FV8HHBTN/ref=sr_1_6?sr=8-6
5.08mm Screw Terminal * 10 ,1,1.05$,1.05$,https://www.amazon.in/Embeddinator-5-08mm-Pitch-Pluggable-Terminal/dp/B0B5GH2Z8V/ref=sr_1_7?sr=8-7
HC-05 Bluetooth Module,1,7.95$,7.95$,https://robu.in/product/hc-05-4pin-bluetooth-modulemasterslave-with-button/
Delivery Charges and shipping (if applicable),,,10$,
,,,,
Grand Total,,,81.16$,
